Date,Open,High,Low,Close
6/1/10,40.3,41,39.14,41
6/2/10,40.46,40.85,38.09,38.11
6/3/10,37.77,37.78,35.53,35.79
6/4/10,37.39,39.76,36.85,39.23
6/7/10,39.87,41.56,39.85,41.37
6/8/10,41.3,43.32,40.97,41.07
6/9/10,40.71,41.37,39.23,41.17
6/10/10,40.32,40.32,38.02,38.18
6/11/10,39.11,39.11,36.5,36.5
6/14/10,36.8,37.87,36.76,37.83
6/15/10,37.5,37.5,35,35.98
6/16/10,36.18,36.21,34.59,34.76
6/17/10,34.52,35.39,33.8,33.8
6/18/10,33.37,33.69,32.42,32.54
6/21/10,33.01,34.58,32.48,34.16
6/22/10,34.18,34.74,32.97,34.66
6/23/10,34.94,35.97,34.66,35.4
6/24/10,35.61,37.03,35.34,36.88
6/25/10,36.61,37.08,35.36,35.45
6/28/10,36.58,36.69,33.75,33.91
6/29/10,35.34,39.59,35.34,39.17
6/30/10,39.3,39.53,37.9,39.47
7/1/10,39.85,42.81,39.53,41.62
7/2/10,42.06,42.36,40.08,40.7
7/6/10,40.66,40.66,38.59,39.63
7/7/10,39.35,39.9,36.45,36.46
7/8/10,36.1,36.85,35.7,35.8
7/9/10,34.62,36.43,34.49,35.18
7/12/10,34.97,35.49,34.64,34.81
7/13/10,36.4,36.44,33.68,35.52
7/14/10,35.79,37.32,35.72,36.45
7/15/10,36.35,37.8,36.02,36.53
7/16/10,33.02,33.02,30.66,30.99
7/19/10,31.77,32.87,30.84,31.2
7/20/10,31.48,31.49,28.16,28.19
7/21/10,27.81,28.89,27.17,28.57
7/22/10,27.79,27.79,25.97,26.76
7/23/10,27.13,27.56,25.72,25.76
7/26/10,26.94,27.18,26.04,26.09
7/27/10,25.56,26.64,25.52,26.37
7/28/10,26.34,29.3,26.34,27.7
7/29/10,27.51,28.49,27.07,27.51
7/30/10,28.55,28.6,27.64,27.67
8/2/10,28.1,28.17,27.01,27.07
8/3/10,27.13,27.63,26.67,26.82
8/4/10,26.66,26.66,25.45,25.76
8/5/10,26.04,26.6,25.75,25.96
8/6/10,26.19,27.92,26.16,26.41
8/9/10,27,27,25.89,25.9
8/10/10,26.58,27.47,26.45,26.56
8/11/10,27.62,28.91,27.62,28.71
8/12/10,29.67,29.67,28.58,28.8
8/13/10,29.4,29.67,28.67,29.12
8/16/10,30.05,30.29,28.79,29.08
8/17/10,28.75,29.2,27.85,27.93
8/18/10,28.1,29.1,26.75,27.16
8/19/10,27.46,29.93,27.46,29.92
8/20/10,30.11,30.85,29.92,30.78
8/23/10,32.83,32.83,31.56,31.75
8/24/10,33.3,34.67,33.26,34.24
8/25/10,34.6,35.39,33.22,33.38
8/26/10,33.29,33.93,33.29,33.69
8/27/10,33.7,34.36,32.15,32.15
8/30/10,33.76,33.9,32.9,33.01
8/31/10,33.52,33.78,32.86,32.91
9/1/10,32.5,32.57,30.81,30.95
9/2/10,30.88,31.25,30.71,30.77
9/3/10,30.01,30.14,29.03,29.03
9/7/10,31.47,31.76,31.19,31.56
9/8/10,31.67,31.67,30.49,30.49
9/9/10,29.95,31.28,29.95,31
9/10/10,31.21,31.38,30.5,30.57
9/13/10,31.76,31.79,30.87,30.94
9/14/10,31.33,31.33,30.14,30.46
9/15/10,30.7,30.78,30.12,30.19
9/16/10,30.28,30.36,29.26,29.29
9/17/10,29.16,30.39,28.57,30.28
9/20/10,30.64,30.96,30.01,30.22
9/21/10,30.4,32.01,30.4,31.15
9/22/10,31.27,31.95,31.18,31.18
9/23/10,31.56,31.88,30.67,30.67
9/24/10,30.33,32.77,30.29,31.65
9/27/10,32.2,33.36,32.2,32.27
9/28/10,32.35,33.24,31.56,31.62
9/29/10,31.64,31.88,31.16,31.18
9/30/10,31.09,31.51,30.82,31.19
10/1/10,31.22,31.57,31.09,31.24
10/4/10,32.24,33.14,31.95,32.03
10/5/10,31.8,31.91,31.05,31.05
10/6/10,30.92,32.03,30.88,31.62
10/7/10,31.55,31.55,30.7,30.72
10/8/10,30.48,30.61,29.4,29.49
10/11/10,29.8,30.4,29.76,29.96
10/12/10,30.11,30.69,30.03,30.18
10/13/10,30.36,30.64,29.36,29.43
10/14/10,29.67,33,29.46,32.61
10/15/10,27.4,27.54,25.7,27.03
10/18/10,27.34,30.34,27.34,29.09
10/19/10,29.11,29.11,26.84,27.3
10/20/10,27.43,27.67,26.21,26.22
10/21/10,26.45,26.76,25.91,25.91
10/22/10,26.13,26.26,25.16,25.28
10/25/10,26.27,27.42,26.17,27.22
10/26/10,27.4,27.4,26.11,26.15
10/27/10,26.54,27.58,26.54,26.92
10/28/10,26.99,27.6,26.51,26.56
10/29/10,26.79,26.8,26.17,26.19
11/1/10,27.16,27.47,26.84,26.84
11/2/10,26.84,26.84,26.15,26.28
11/3/10,26.29,26.47,25.61,25.62
11/4/10,25.38,25.38,23.72,23.73
11/5/10,23.9,24.05,23.01,23.12
11/8/10,23.99,24.04,22.91,22.91
11/9/10,23.06,23.31,22.26,22.31
11/10/10,22.5,24.53,22.12,22.14
11/11/10,22.76,23.1,22.38,22.42
11/12/10,22.75,25.57,22.28,25.56
11/15/10,28.73,30.18,25.36,25.78
11/16/10,26.4,27.97,26.25,27.36
11/17/10,27.49,27.64,26.58,26.87
11/18/10,26.62,26.67,24.85,24.91
11/19/10,25.24,25.83,24.85,25.21
11/22/10,26.97,27.19,26.37,26.84
11/23/10,27.76,30.42,27.75,29.65
11/24/10,29.38,29.44,27.43,27.49
11/26/10,29.2,29.2,28.56,28.56
11/29/10,30.13,31.31,30.13,31.1
11/30/10,32.49,34.52,32.49,34.45
12/1/10,33.72,33.72,30.72,31.21
12/2/10,31.17,31.25,29.01,29.06
12/3/10,29.36,29.51,28.36,28.66
12/6/10,29.24,29.48,28.01,28.27
12/7/10,27.73,28.65,27.35,28.26
12/8/10,28.29,28.39,27.84,27.86
12/9/10,27.88,28.5,27.42,28.02
12/10/10,28.15,28.27,27.4,28.19
12/13/10,29.62,29.71,28.59,28.72
12/14/10,28.84,29.87,28.75,29.14
12/15/10,29.17,30.06,28.99,29.97
12/16/10,29.92,30.01,28.48,29.27
12/17/10,29.39,29.53,28.25,28.28
12/20/10,28.99,29.2,27.04,27.73
12/21/10,27.63,28.59,27.18,28.29
12/22/10,28.09,28.28,27.6,27.66
12/23/10,27.67,27.83,27.4,27.55
12/27/10,28.88,29.23,28.69,29.16
12/28/10,29.14,29.74,29.14,29.65
12/29/10,29.55,29.7,29.2,29.49
12/30/10,29.55,30.32,29.54,30.27
12/31/10,30.55,32.22,30.55,32.13
1/3/11,32.29,32.29,30.75,31.24
1/4/11,31.21,31.47,31.04,31.19
1/5/11,31.43,32.18,30.83,30.85
1/6/11,30.76,30.95,30.3,30.38
1/7/11,30.35,30.47,29.46,29.61
1/10/11,30.36,30.93,30.36,30.92
1/11/11,30.86,31.22,30.53,30.54
1/12/11,30.48,30.49,29.77,29.79
1/13/11,29.72,30.02,29.52,29.67
1/14/11,29.59,29.6,29.15,29.17
1/18/11,29.94,31.88,29.87,31.04
1/19/11,31.05,33.51,31.05,32.58
1/20/11,32.66,34.43,32.47,33.81
1/21/11,25.64,26.37,23.56,26.37
1/24/11,27.39,27.48,24.37,24.69
1/25/11,24.96,24.97,23.23,23.46
1/26/11,23.24,23.69,22.57,22.93
1/27/11,22.92,23.05,22.05,22.28
1/28/11,22.21,26.38,21.91,26.27
1/31/11,27.15,27.15,25.42,25.45
2/1/11,25.14,25.14,22.76,23.12
2/2/11,23.18,23.42,22.51,22.83
2/3/11,23.25,23.25,22.67,22.88
2/4/11,23.05,23.28,22.71,22.82
2/7/11,23.64,23.77,21.96,22.08
2/8/11,22.01,22.04,20.78,20.83
2/9/11,20.92,21.84,19.02,20.93
2/10/11,20.94,21.65,20.43,21.25
2/11/11,21.33,21.35,20.21,20.93
2/14/11,21.17,21.69,20.76,20.78
2/15/11,20.66,21.18,19.65,20.71
2/16/11,20.78,21.2,20.43,20.53
2/17/11,20.67,21.02,20.47,20.63
2/18/11,20.82,21.05,20.05,20.27
2/22/11,22.49,26.34,22.31,26.17
2/23/11,26.14,27.96,25.68,25.7
2/24/11,27,29.93,26.31,26.31
2/25/11,26.11,26.11,24.56,25.41
2/28/11,26.73,26.8,25.18,25.54
3/1/11,25.19,28.1,25.18,28.01
3/2/11,28.29,28.69,27.47,27.48
3/3/11,26.81,26.81,25.29,25.66
3/4/11,26.02,27.75,25.97,27.49
3/7/11,28.57,30.51,28.42,29.89
3/8/11,29.88,30,28.17,28.5
3/9/11,28.84,29.63,28.76,28.87
3/10/11,29.74,30.27,29.21,29.98
3/11/11,30.46,30.51,29.48,29.59
3/14/11,31.38,32.03,30.83,31.17
3/15/11,32.86,33.64,30.99,31.71
3/16/11,31.89,37.13,31.84,36.01
3/17/11,34.32,34.37,32.04,32.63
3/18/11,31.52,31.54,29.16,31.2
3/21/11,30.38,30.38,28.15,28.36
3/22/11,28.23,28.23,26.93,27.12
3/23/11,27.74,28.3,26.94,27.26
3/24/11,26.98,28.13,26.84,27.21
3/25/11,27.18,27.51,26.61,27.05
3/28/11,27.68,27.72,27.17,27.58
3/29/11,27.64,28.22,27.44,27.47
3/30/11,27.47,27.56,26.98,27.2
3/31/11,27.31,28.54,27.31,28.04
4/1/11,27.73,28.2,27.4,28.18
4/4/11,28.78,30.6,28.47,29.67
4/5/11,30.21,31.92,30.21,31.57
4/6/11,31.46,31.56,30.36,30.36
4/7/11,30.41,30.96,30.21,30.58
4/8/11,30.42,30.77,30.38,30.66
4/11/11,30.86,31.39,30.55,31.22
4/12/11,31.61,32.07,31.06,31.31
4/13/11,31.17,31.47,30.08,31.25
4/14/11,31.59,32.22,30.91,31.16
4/15/11,25.53,25.66,22.07,23.71
4/18/11,24.63,26.86,23.17,23.2
4/19/11,22.89,23.49,21.53,22.01
4/20/11,21.59,21.67,20.28,20.31
4/21/11,20.64,21.85,20.47,20.47
4/25/11,21.97,21.99,21.06,21.35
4/26/11,21.34,21.36,20.05,20.94
4/27/11,20.95,21.7,20.75,20.75
4/28/11,20.87,21.16,20.84,21.02
4/29/11,20.78,20.85,19.54,19.94
5/2/11,20.67,21.37,20.67,20.96
5/3/11,21.04,22.42,20.89,22.12
5/4/11,22.17,22.66,21.92,22.09
5/5/11,22.32,23.27,22.09,23.1
5/6/11,22.6,22.6,21.11,21.99
5/9/11,22.95,23.34,21.88,21.88
5/10/11,21.72,21.93,20.56,20.68
5/11/11,21.07,21.91,20.66,21.55
5/12/11,21.64,22.18,21,21.37
5/13/11,21.59,21.7,21.25,21.39
5/16/11,22.25,23.64,21.22,23.47
5/17/11,23.94,23.96,22.33,22.75
5/18/11,22.98,23.7,21.4,21.57
5/19/11,21.69,21.87,21.05,21.61
5/20/11,21.86,22.17,20.92,22.11
5/23/11,23.97,24.55,23.89,23.96
5/24/11,24.14,24.25,23.3,24.21
5/25/11,24.87,24.87,23.7,23.87
5/26/11,24.37,24.42,23.47,23.76
5/27/11,24.01,24.29,22.79,22.8
5/31/11,24.12,24.12,23.28,23.31
6/1/11,23.49,25.24,23.36,25.24
6/2/11,25.62,25.97,25.07,25.87
6/3/11,26.79,26.96,26.26,26.37
6/6/11,27.71,28.23,27.54,28.14
6/7/11,28.27,28.44,27.87,28.11
6/8/11,28.4,28.55,28,28.3
6/9/11,28.67,28.68,27.64,27.8
6/10/11,28.26,28.98,28.17,28.7
6/13/11,30.24,30.85,29.84,29.94
6/14/11,29.4,29.4,28.46,28.61
6/15/11,28.92,30.12,28.79,29.9
6/16/11,29.75,32.28,29.46,31.36
6/17/11,30.69,33.72,30.69,33.68
6/20/11,34.82,34.92,32.63,32.66
6/21/11,32.26,32.27,29.88,30.9
6/22/11,31.03,31.13,30.1,30.55
6/23/11,31.26,32.62,31.26,31.8
6/24/11,31.87,32.53,31.71,31.91
6/27/11,32.53,32.53,30.24,30.86
6/28/11,30.71,30.92,30.07,30.79
6/29/11,30.41,30.56,29.46,30.12
6/30/11,29.63,29.97,29.32,29.32
7/1/11,29.25,29.28,28.07,28.63
7/5/11,29,30.49,28.97,29.68
7/6/11,29.59,31.78,29.04,30.07
7/7/11,29.87,31.04,29.87,30.57
7/8/11,31.32,32.02,30.38,31.33
7/11/11,32.53,32.64,31.11,32.37
7/12/11,32.27,33.03,31.47,32.94
7/13/11,32.63,33.37,32.51,32.64
7/14/11,32.85,33.57,31.82,32.92
7/15/11,26.37,26.64,23.65,24
7/18/11,24.96,26.29,24.96,25.32
7/19/11,24.97,25.03,23.15,23.37
7/20/11,23.44,23.62,20.94,22.33
7/21/11,22.15,22.2,20.77,21.78
7/22/11,22.01,23.68,21.56,22.58
7/25/11,24,24.96,23.54,24.54
7/26/11,24.74,26.91,24.69,24.78
7/27/11,25.19,26.84,24.83,26.76
7/28/11,26.91,27.48,26.56,26.72
7/29/11,27.28,28.42,27.25,28.3
8/1/11,27.62,29.46,27.23,28.75
8/2/11,28.59,30.05,27.67,29.59
8/3/11,29.31,30.34,27.99,28
8/4/11,28.7,34.9,28.7,34.87
8/5/11,33.6,40.82,32.65,35.41
8/8/11,39.1,45.56,38.04,45.44
8/9/11,42.4,45.61,37.99,37.99
8/10/11,39.87,44.37,39.25,44.37
