Date,Open,High,Low,Close
6/1/10,50.83,56.38,49.33,51.76
6/2/10,51.52,52.35,47.28,47.98
6/3/10,50.18,50.53,46.2,46.2
6/4/10,48.85,51.17,47.25,49.14
6/7/10,49.69,53.52,48.81,50.95
6/8/10,50.4,54.94,50.2,50.34
6/9/10,50.07,59.5,48.64,52.35
6/10/10,52.69,57.55,51.73,51.85
6/11/10,53.48,53.64,49.27,49.3
6/14/10,51.04,51.73,48.65,50.16
6/15/10,50.53,50.53,45.9,46.52
6/16/10,47.05,47.19,42.99,43.48
6/17/10,43.53,43.81,40.52,41.29
6/18/10,41.06,41.06,37.5,37.97
6/21/10,38.16,39.5,36.16,38.98
6/22/10,41.49,41.68,38.76,41.47
6/23/10,42.6,43.21,40.1,40.14
6/24/10,40.94,43.59,40.22,41.39
6/25/10,41.14,42.45,37.9,39.43
6/28/10,41.64,43,40.49,41.18
6/29/10,42.39,46.94,42.16,45.58
6/30/10,46.29,47.07,44.43,46.5
7/1/10,47,49.86,45.05,47.66
7/2/10,46.89,47.57,44.16,44.46
7/6/10,44.83,44.99,42.4,43.8
7/7/10,43.54,43.94,40.45,40.63
7/8/10,40.96,42.63,38.77,39.09
7/9/10,40.04,40.34,37.88,38.46
7/12/10,39.13,40.33,36.75,37.84
7/13/10,36.92,37.14,34.45,35.92
7/14/10,38.05,39.51,37.7,38.25
7/15/10,38.2,44.42,35.76,40.85
7/16/10,37.64,41.81,34.84,36.98
7/19/10,38.57,42.4,33.55,36.91
7/20/10,33.94,36.64,30.41,30.44
7/21/10,30.72,32.17,28.28,30.52
7/22/10,29.62,32.54,29.54,31.53
7/23/10,34.38,34.61,29.96,30.02
7/26/10,31.94,33.4,29.42,29.42
7/27/10,28.59,31.98,28.42,30.18
7/28/10,29.95,31.22,29.54,31.07
7/29/10,30.12,30.71,28.79,30.12
7/30/10,31.35,32.97,29.59,30.87
8/2/10,31.27,32.62,30.58,30.97
8/3/10,31.24,31.87,29.3,29.72
8/4/10,29.93,30.83,28.67,29.4
8/5/10,29.88,30.12,28.55,28.65
8/6/10,29.56,31.56,28.3,29.14
8/9/10,30.15,31.37,29.6,29.69
8/10/10,30.19,31.68,29.04,29.73
8/11/10,31.92,33.82,31.5,33.01
8/12/10,33.69,33.69,32.53,32.93
8/13/10,32.42,33.15,31.94,32.76
8/16/10,33.03,34.43,31.71,32.59
8/17/10,31.47,32.79,31.36,31.69
8/18/10,33.06,34.3,32.37,32.57
8/19/10,32.97,34.34,32.37,32.91
8/20/10,32.67,32.81,29.87,29.97
